-a2*a4, a2*a4
-a3*a5, -2*a3*a5
a4^2 - a4, 0
0, a4^2 - a4
-a4^2 + a4, -a4^2 + a4
-a2^2 + a2, 0
0, -a2^2 + a2
a2^2 - a2, a2^2 - a2
0, -a3^2 + a3
a3^2 - a3, a3^2 - a3
-a3^2 + a3, 0
0, a5^2 - a5
-a5^2 + a5, -a5^2 + a5
a5^2 - a5, 0
